DSP_autocor_c,10069,9181,"1,096721",701651,6941,-simplifycfg, -scalarrepl, -loop-rotate, -loop-reduce, -strip-dead-prototypes, -loop-extract, -instcombine, -loop-unswitch, -loweratomic, -loop-rotate, -loop-extract, -loop-reduce, -inline, -loop-idiom, -strip-dead-prototypes, -loop-extract, -loop-rotate, -loop-unswitch, -loop-reduce, -reassociate, -inline, -strip-dead-prototypes, -loop-extract, -inline, -indvars, -sink, -globalopt, -loop-rotate,9181,-ipsccp, -memcpyopt, -simplifycfg, -scalarrepl, -sccp, -memdep, -memcpyopt, -loop-unswitch, -loweratomic, -loop-rotate, -loop-reduce, -instsimplify, -argpromotion, -lower-expect, -instsimplify, -lower-expect, -instsimplify, -memdep, -loop-idiom, -partial-inliner, -strip-dead-prototypes, -loop-extract, -domtree, -loop-simplify, -loop-simplify, -lcssa, -instcombine, -loops, -memdep, -memcpyopt, -loop-unswitch, -loweratomic, -loop-rotate, -loop-reduce, -instsimplify, -lower-expect, -instsimplify, -lower-expect, -instsimplify, -memdep, -inline, -no-aa, -instsimplify, -memdep, -inline, -no-aa, -loop-idiom, -partial-inliner, -strip-dead-prototypes, -loop-extract, -loop-reduce, -instsimplify, -argpromotion, -lower-expect, -no-aa, -instsimplify, -memdep, -inline, -no-aa, -loop-idiom, -partial-inliner, -strip-dead-prototypes, -loop-extract, -domtree, -loop-simplify, -lcssa, -instcombine, -loops, -memdep, -memcpyopt, -loop-unswitch, -loweratomic, -loop-rotate, -loop-reduce, -instcombine, -loops, -memdep, -memcpyopt, -loop-unswitch, -loweratomic, -loop-rotate, -loop-reduce, -instsimplify, -lower-expect, -instsimplify, -memdep, -die, -partial-inliner, -loop-reduce, -reassociate, -loop-simplify, -lcssa, -instcombine, -scalarrepl, -inline, -no-aa, -targetlibinfo, -scalarrepl, -lowerswitch, -lower-expect, -loop-idiom, -partial-inliner, -strip-dead-prototypes, -loop-extract, -domtree, -loop-simplify, -lcssa, -instcombine, -loops, -memdep, -memcpyopt, -inline, -no-aa, -indvars, -lower-expect, -sink, -globalopt, -loop-rotate, -indvars, -globalopt, -prune-eh,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_autocor_c,10069,9368,"1,074829",537615,6817,-loop-rotate, -scalarrepl-ssa, -argpromotion, -loop-reduce, -indvars, -loop-unswitch, -jump-threading, -instcombine, -loop-idiom, -loop-deletion, -codegenprepare,9368,-instcombine, -loop-rotate, -scalarrepl-ssa, -argpromotion, -loop-reduce, -indvars, -loop-unswitch, -globaldce, -adce, -jump-threading, -instcombine, -globaldce, -no-aa, -loop-unswitch, -globaldce, -adce, -jump-threading, -instcombine, -globaldce, -loop-idiom, -globaldce, -globaldce, -loop-deletion, -indvars, -loop-deletion, -strip-dead-prototypes, -codegenprepare, -lower-expect,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_autocor_c,10069,9377,"1,073798",576553,6911,-loop-rotate, -scalarrepl, -loop-reduce, -loop-unswitch, -loop-reduce, -ipsccp, -simplifycfg, -loop-idiom, -simplifycfg, -loop-deletion,9377,-sink, -partial-inliner, -loop-rotate, -scalarrepl, -loop-reduce, -dce, -memcpyopt, -targetlibinfo, -no-aa, -loop-unswitch, -constprop, -loop-reduce, -constprop, -ipsccp, -simplifycfg, -strip-dead-prototypes, -loop-idiom, -constprop, -scalarrepl, -simplifycfg, -loop-deletion, -memcpyopt, -lcssa, -die,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap16_c,3664,3664,1,292591,4393,-scalarrepl-ssa, -loop-rotate, -indvars,3664,-scalarrepl-ssa, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap16_c,3664,3664,1,355011,5063,-scalarrepl, -loop-rotate, -indvars,3664,-scalarrepl, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap16_c,3664,3664,1,309687,4763,-scalarrepl-ssa, -loop-rotate, -indvars,3664,-scalarrepl-ssa, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap32_c,3078,3076,"1,00065",222319,3765,-scalarrepl, -loop-rotate,3076,-scalarrepl, -loop-rotate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap32_c,3078,3076,"1,00065",215333,3680,-loop-rotate, -scalarrepl-ssa,3076,-loop-rotate, -scalarrepl-ssa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap32_c,3078,3076,"1,00065",214714,3692,-loop-rotate, -scalarrepl,3076,-loop-rotate, -scalarrepl,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap64_c,2800,2798,"1,000715",201994,3437,-scalarrepl, -loop-rotate,2798,-scalarrepl, -loop-rotate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
