Pograma,CROSS,,,,,,,,
,10,,20,,30,,,,
,Speedup Médio,Tempo Médio,Speedup Médio,Tempo Médio,Speedup Médio,Tempo Médio,,,
P1,"1,0974","7,4295","1,0739","8,7184","1,0982","21,4816",0,0,1
P2,"1,0013","5,2598","1,0008","5,9710","1,0000","4,1848",1,0,0
P3,"1,0018","4,4428","1,0018","5,2047","1,0007","3,5981",1,0,0
P4,"1,0007","3,1390","1,0007","3,7920","1,0007","3,5512",1,0,1
P5,"1,0085","5,3139","1,0100","6,1381","1,0085","5,4651",0,1,1
P6,"1,0000","3,8183","1,0000","4,7859","1,0000","4,2136",1,1,1
P7,"1,0000","4,3328","1,0000","6,3431","1,0000","5,0557",1,1,1
P8,"1,0287","6,9313","1,0294","8,2186","1,0349","6,8960",0,0,1
P9,"1,0130","4,3855","1,0130","5,5889","1,0130","4,6101",1,0,1
P10,"1,0496","4,0696","1,0496","5,5138","1,0496","4,4074",1,0,1
P11,"1,1713","14,8680","1,1948","16,0827","1,2008","103,0778",0,0,1
P12,"1,0751","8,9006","1,1202","19,5884","1,5216","40,0765",0,0,1
P13,"1,5187","2,7435","1,5238","4,0868","1,5187","3,4082",0,1,1
P14,"1,1830","2,8613","1,1830","3,0290","1,1830","3,4813",0,1,1
P15,"1,0004","6,9200","1,0004","7,0879","1,0004","7,2211",0,1,1
P16,"1,1909","4,0888","1,1909","4,5788","1,1909","4,2350",1,0,1
P17,"1,0000","4,8181","1,0000","4,8185","1,0000","5,0842",1,1,1
P18,"1,0000","3,2532","1,0000","3,2687","1,0000","3,3059",1,1,1
P19,"1,0144","4,2293","1,0000","4,5604","1,0144","5,2359",1,0,1
P20,"1,0003","3,2270","1,0003","3,3077","1,0005","4,4745",0,0,1
P21,"1,0243","4,4006","1,0000","4,6662","1,0000","4,5346",1,0,1
P22,"1,0002","7,9285","1,0002","8,0064","1,0006","9,1565",0,0,1
P23,"1,0244","6,6875","1,0180","8,2846","1,0279","7,6384",0,0,1
P24,"1,2840","15,2516","1,0378","10,0500","1,4663","22,9769",0,0,1
P25,"1,0001","5,7087","1,2419","13,7624","1,0002","6,7638",0,1,1
P26,"1,0000","5,2377","1,0001","6,3005","1,0000","5,3543",0,1,1
P27,"1,1730","9,6991","1,0742","6,8809","1,2069","8,8776",0,0,1
P28,"1,0989","10,4543","1,1705","10,1299","1,0946","11,5276",0,1,0
P29,"1,0287","8,2632","1,0823","9,5634","1,0287","8,5865",0,1,1
P30,"1,1656","4,0261","1,0739","6,6246","1,1656","4,7445",1,0,1
P31,"1,4488","6,4304","1,2488","4,9289","1,4690","7,7810",0,0,1
P32,"1,0900","3,5866","1,3738","6,6586","1,0900","4,1399",0,1,1
P33,"1,0560","5,5006","1,0758","4,5013","1,0474","4,4553",0,1,0
P34,"1,0000","5,4463","1,0316","4,8127","1,0000","5,8555",0,1,1
P35,"1,5268","6,8038","1,1759","6,6125","1,5268","7,2202",0,0,1
P36,"1,0008","6,2174","1,3519","7,6791","1,0034","6,6297",0,1,1
P37,"1,1091","7,2030","1,0330","7,2851","1,1057","7,5234",1,0,1
P38,"1,0037","12,9732","1,0707","9,8344","1,0037","12,3670",0,1,0
P39,"1,0041","7,0496","1,0028","11,8117","1,0041","6,5274",1,0,1
P40,"1,1250","4,3601","1,0466","7,5119","1,1242","5,1159",1,0,1
P41,"1,0000","3,8828","1,0784","4,5989","1,0000","4,1223",0,1,1
P42,"1,0023","4,8907","1,0023","5,8488","1,0000","4,1867",1,0,0
,,,,,,,17,18,36
