Pograma,CROSS,,,,,,,,
,roulette,,tour de 3,,,,,,
,Speedup Médio,Tempo Médio,Speedup Médio,Tempo Médio,,,,,
P1,"1,0737","8,2163","1,0739","8,7184",,,0,1,0
P2,"1,0008","5,5653","1,0008","5,9710",,,1,0,0
P3,"1,0007","3,6971","1,0018","5,2047",,,0,1,0
P4,"1,0007","3,7944","1,0007","3,7920",,,1,0,0
P5,"1,0100","5,9666","1,0100","6,1381",,,1,0,0
P6,"1,0000","4,2186","1,0000","4,7859",,,1,1,0
P7,"1,0000","5,4691","1,0000","6,3431",,,1,1,0
P8,"1,0402","7,7295","1,0294","8,2186",,,1,0,0
P9,"1,0130","4,9245","1,0130","5,5889",,,1,0,0
P10,"1,0496","4,7167","1,0496","5,5138",,,1,0,0
P11,"1,2498","401,0201","1,1948","16,0827",,,1,0,0
P12,"1,1239","11,0651","1,1202","19,5884",,,1,0,0
P13,"1,5187","3,4156","1,5238","4,0868",,,0,1,0
P14,"1,1830","3,0555","1,1830","3,0290",,,0,1,0
P15,"1,0004","7,9792","1,0004","7,0879",,,0,1,0
P16,"1,1909","3,9719","1,1909","4,5788",,,1,0,0
P17,"1,0000","4,7278","1,0000","4,8185",,,1,1,0
P18,"1,0000","18,1262","1,0000","3,2687",,,1,1,0
P19,"1,0000","5,0088","1,0000","4,5604",,,1,1,0
P20,"1,0003","3,7500","1,0003","3,3077",,,0,1,0
P21,"1,0000","5,2794","1,0000","4,6662",,,1,1,0
P22,"1,0006","8,7292","1,0002","8,0064",,,1,0,0
P23,"1,0286","8,1879","1,0180","8,2846",,,1,0,0
P24,"1,5911","29,7579","1,0378","10,0500",,,1,0,0
P25,"1,0001","6,4804","1,2419","13,7624",,,0,1,0
P26,"1,0112","6,5693","1,0001","6,3005",,,1,0,0
P27,"1,1921","9,5316","1,0742","6,8809",,,1,0,0
P28,"1,0997","10,0691","1,1705","10,1299",,,0,1,0
P29,"1,0284","10,2233","1,0823","9,5634",,,0,1,0
P30,"1,1656","4,9566","1,0739","6,6246",,,1,0,0
P31,"1,4151","7,0781","1,2488","4,9289",,,1,0,0
P32,"1,0900","4,1572","1,3738","6,6586",,,0,1,0
P33,"1,0474","4,5506","1,0758","4,5013",,,0,1,0
P34,"0,9957","5,5395","1,0316","4,8127",,,0,1,0
P35,"1,5271","7,7297","1,1759","6,6125",,,1,0,0
P36,"1,0004","6,3300","1,3519","7,6791",,,0,1,0
P37,"1,1218","8,6309","1,0330","7,2851",,,1,0,0
P38,"1,0032","12,2311","1,0707","9,8344",,,0,1,0
P39,"1,0041","6,7708","1,0028","11,8117",,,1,0,0
P40,"1,1176","4,6914","1,0466","7,5119",,,1,0,0
P41,"1,0046","9,7552","1,0784","4,5989",,,0,1,0
P42,"1,0101","5,3018","1,0023","5,8488",,,1,0,0
,,,,,,,27,21,0
